                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.83396,                0.51857,                 1.1212,                0.94404,                0.94465,                0.96483,                0.74108,                0.93623,                0.45844,                 1.2249,             0.00020596,             0.00020596,             0.00020596
                     52,                0.83922,                0.53069,                 1.1216,                0.94627,                0.94439,                0.96295,                0.74009,                0.94385,                0.45556,                 1.2223,               0.000202,               0.000202,               0.000202
                     53,                0.82914,                0.52771,                 1.1183,                0.94178,                0.94644,                0.96691,                0.73648,                0.94929,                0.46889,                 1.2329,             0.00019804,             0.00019804,             0.00019804
                     54,                0.82776,                0.51383,                 1.1165,                0.95229,                  0.947,                0.96415,                0.73739,                0.95623,                0.44003,                  1.229,             0.00019408,             0.00019408,             0.00019408
                     55,                0.82328,                0.50325,                 1.1174,                0.94976,                0.94634,                0.96562,                0.73717,                 0.9447,                 0.4454,                 1.2255,             0.00019012,             0.00019012,             0.00019012
                     56,                 0.8267,                0.50012,                 1.1102,                0.94338,                0.93685,                 0.9659,                 0.7377,                0.95391,                0.46127,                 1.2294,             0.00018616,             0.00018616,             0.00018616
                     57,                0.80677,                 0.5067,                 1.1054,                0.93966,                0.94997,                0.96621,                0.73869,                0.95242,                0.45328,                 1.2279,              0.0001822,              0.0001822,              0.0001822
                     58,                0.81251,                0.49542,                 1.1033,                0.94702,                0.94828,                0.96783,                0.74122,                0.93984,                0.42968,                 1.2224,             0.00017824,             0.00017824,             0.00017824
                     59,                0.80332,                0.49431,                 1.1026,                0.93935,                0.96794,                 0.9682,                0.74328,                0.94238,                0.42625,                 1.2435,             0.00017428,             0.00017428,             0.00017428
                     60,                0.80331,                0.48957,                 1.1058,                0.95701,                0.94049,                0.96316,                0.73842,                0.95381,                 0.4458,                 1.2379,             0.00017032,             0.00017032,             0.00017032
                     61,                0.80516,                0.48749,                 1.0996,                0.94514,                0.94787,                0.96332,                0.74021,                0.95939,                0.44866,                 1.2405,             0.00016636,             0.00016636,             0.00016636
                     62,                0.78155,                0.47639,                 1.0925,                 0.9407,                0.94754,                0.96653,                0.74211,                0.95242,                0.43961,                 1.2349,              0.0001624,              0.0001624,              0.0001624
                     63,                0.78032,                0.47102,                 1.0937,                0.95256,                0.95833,                0.97072,                0.73815,                0.97144,                0.42841,                 1.2436,             0.00015844,             0.00015844,             0.00015844
                     64,                0.78666,                0.48384,                 1.1003,                0.94412,                0.95516,                0.97275,                0.74718,                0.96302,                0.43155,                 1.2402,             0.00015448,             0.00015448,             0.00015448
                     65,                0.77609,                0.47991,                 1.0945,                0.94785,                0.95646,                 0.9688,                0.73977,                0.97151,                0.43547,                 1.2518,             0.00015052,             0.00015052,             0.00015052
                     66,                 0.7682,                0.46893,                 1.0876,                0.94632,                 0.9573,                0.96791,                0.74054,                0.95167,                0.43265,                 1.2517,             0.00014656,             0.00014656,             0.00014656
                     67,                 0.7701,                0.45995,                 1.0883,                0.94318,                0.95511,                0.96165,                 0.7325,                0.96554,                  0.431,                 1.2451,              0.0001426,              0.0001426,              0.0001426
                     68,                0.76765,                0.46453,                 1.0905,                0.95409,                0.95071,                0.96398,                0.73437,                0.96965,                0.42746,                 1.2513,             0.00013864,             0.00013864,             0.00013864
